uvrstitev,avtor,naslov,mesec_izdaje,leto_izdaje,format
1,Scott Pape,The Barefoot Investor,Jul,2017,Paperback
2,Mark Manson,The Subtle Art of Not Giving a F*ck,Sep,2016,Hardback
4,Rupi Kaur,Milk and Honey,Sep,2017,Paperback
5,Jamie Oliver,5 Ingredients - Quick &amp; Easy Food,Sep,2017,Hardback
6,Andre Aciman,Call Me By Your Name,Sep,2017,Paperback
8,Yuval Noah Harari,Sapiens,Sep,2016,Paperback
9,R. J. Palacio,Wonder,Mar,2013,Paperback
10,Elena Favilli,Good Night Stories for Rebel Girls,Mar,2017,Hardback
11,Margaret Atwood,The Handmaid&#039;s Tale,Jun,2011,Paperback
12,Paul Kalanithi,When Breath Becomes Air,Jan,2017,Paperback
13,Dr. Patrizia Collard,The Little Book of Mindfulness,May,2014,Paperback
14,Rupi Kaur,The Sun and Her Flowers,Oct,2017,Paperback
15,Carol McCloud,Have You Filled A Bucket Today?,Oct,2015,Paperback
16,Hiro Arikawa,The Travelling Cat Chronicles,Nov,2017,Paperback
17,Annette Collinge,Embroidered Treasures: Flowers,Mar,2018,Hardback
18,Yuval Noah Harari,Homo Deus,Jun,2017,Paperback
19,Mark Manson,The Subtle Art of Not Giving A F*ck,Oct,2016,Paperback
20,Angie Thomas,The Hate U Give,Jun,2017,Paperback
21,Daniel Kahneman,"Thinking, Fast and Slow",Oct,2012,Paperback
22,Kate Pankhurst,Fantastically Great Women Who Changed The World,Sep,2016,Paperback
23,Ernest Cline,Ready Player One,Apr,2012,Paperback
24,Adam Kay,This is Going to Hurt,Sep,2017,Hardback
25,Gareth Moore,Brain Games For Clever Kids,Oct,2014,Paperback
26,Meik Wiking,The Little Book of Hygge,Dec,2016,Hardback
28,Ray Dalio,Principles,Sep,2017,Hardback
29,Eckhart Tolle,The Power of Now,Feb,2001,Paperback
31,Naomi Alderman,The Power,Oct,2017,Paperback
32,Bessel A. van der Kolk,The Body Keeps the Score,Sep,2015,Paperback
33,George Orwell,Nineteen Eighty-four,Oct,2008,Paperback
34,R. J. Palacio,Auggie &amp; Me: Three Wonder Stories,Aug,2015,Paperback
35,Matthew Walker,Why We Sleep,Jan,2018,Paperback
36,Antoine de Saint-Exupery,The Little Prince,Jan,1998,Paperback
37,George Orwell,Animal Farm,Oct,2008,Paperback
38,Simon Sinek,Start With Why,Oct,2011,Paperback
39,Dawn Huebner,What to Do When You Worry Too Much,Sep,2005,Paperback
40,Ashlee Vance,Elon Musk,Mar,2016,Paperback
41,Michael Mosley,The Clever Guts Diet,May,2017,Paperback
42,Emily Martin,The Wonderful Things You Will Be,Sep,2015,Hardback
43,George Saunders,Lincoln in the Bardo,Nov,2017,Paperback
45,Angela Duckworth,Grit,May,2017,Paperback
46,Brene Brown,Braving the Wilderness,Sep,2017,Paperback
47,Viktor E. Frankl,Man&#039;s Search For Meaning,Feb,2008,Paperback
49,Roald Dahl,Roald Dahl&#039;s Marvellous Joke Book,Aug,2012,Paperback
50,Viktor E. Frankl,Man&#039;s Search for Meaning,Jul,2017,Paperback
51,Daniel J Siegel,The Whole-Brain Child,Sep,2012,Paperback
52,Gail Honeyman,Eleanor Oliphant is Completely Fine,May,2017,Hardback
53,Amor Towles,A Gentleman in Moscow,Nov,2017,Paperback
54,Giles Andreae,Giraffes Can&#039;t Dance,May,2014,Paperback
55,Sarah Knight,The Life-Changing Magic of Not Giving a F**k,Dec,2015,Hardback
56,Fredrik Backman,A Man Called Ove,Mar,2016,Paperback
57,Min Jin Lee,Pachinko,Aug,2017,Paperback
59,Anthony William,Medical Medium,Nov,2015,Paperback
60,Michael Mosley,The Fast Diet (The Original 5:2 Diet: Revised and Updated),Dec,2014,Paperback
61,Maya Angelou,I Know Why the Caged Bird Sings,Apr,2009,Paperback
62,Liz Braswell,Disney A Whole New World,Apr,2016,Paperback
63,Robert T. Kiyosaki,Rich Dad Poor Dad,Apr,2017,Paperback
64,J. K. Rowling,Harry Potter and the Philosopher&#039;s Stone,Oct,2015,Hardback
66,Hanya Yanagihara,A Little Life,Mar,2016,Paperback
67,Wizards RPG Team,Xanathar&#039;s Guide to Everything,Nov,2017,Hardback
68,Anthony William,Medical Medium Thyroid Healing,Nov,2017,Hardback
69,Andy Griffiths,The 13-Storey Treehouse,Mar,2015,Paperback
70,Wizards of the Coast,Dungeons &amp; Dragons Player&#039;s Handbook (Dungeons &amp; Dragons Core Rulebooks),Aug,2014,Hardback
71,Drew Daywalt,The Day the Crayons Quit,Jul,2016,Paperback
72,Don Miguel Ruiz,The Four Agreements,Nov,1997,Paperback
73,Brian K. Vaughan,Saga Volume 8,Jan,2018,Paperback
74,Cait Flanders,The Year of Less,Jan,2018,Hardback
75,Nigella Lawson,At My Table,Sep,2017,Hardback
76,Mark Haddon,The Curious Incident of the Dog in the Night-time,Sep,2014,Paperback
77,Caroline Roberts,The Cosy Teashop in the Castle,Feb,2016,Paperback
78,Hector Garcia,Ikigai,Sep,2017,Hardback
79,Jen Sincero,You Are a Badass,Oct,2016,Paperback
80,Nicholas Sparks,Two by Two,Jun,2017,Paperback
81,Harper Lee,To Kill A Mockingbird,Jun,2015,Paperback
82,Andre Aciman,Call Me by Your Name,May,2008,Paperback
83,Brene Brown,Daring Greatly,Dec,2015,Paperback
84,R. J. Palacio,We&#039;re All Wonders,Mar,2017,Paperback
85,Anthony Doerr,All the Light We Cannot See,Jul,2015,Paperback
86,Carol Dweck,Mindset - Updated Edition,Apr,2017,Paperback
87,Holly Black,The Cruel Prince (The Folk of the Air),Jan,2018,Hardback
88,Brene Brown,The Gifts of Imperfection,Nov,2010,Paperback
89,David Walliams,Gangsta Granny,Feb,2013,Paperback
90,Sarah Knight,Get Your Sh*t Together,Dec,2016,Hardback
91,Anthony William,Medical Medium Life-Changing Foods,Dec,2016,Hardback
92,Oliver Jeffers,Here We Are,Nov,2017,Hardback
93,Stephen Hawking,A Brief History Of Time,Feb,2015,Paperback
94,Timothy Ferriss,The 4-Hour Work Week,Jun,2013,Paperback
95,Benjamin Graham,The Intelligent Investor,Oct,2003,Paperback
96,Jon Klassen,I Want My Hat Back,Oct,2012,Paperback
97,Sara Lewis,Hamlyn All Colour Cookery: 200 Family Slow Cooker Recipes,Dec,2016,Paperback
98,Neil Degrasse Tyson,Astrophysics for People in a Hurry,Jun,2017,Hardback
99,George Orwell,Politics and the English Language,Apr,2013,Paperback
100,Liane Moriarty,Big Little Lies,May,2015,Paperback
101,Jojo Moyes,Still Me,Jan,2018,Paperback
102,Paulo Coelho,The Alchemist,Apr,2014,Paperback
103,Julia Donaldson,The Snail and the Whale,Jun,2006,Paperback
104,Tim Marshall,Prisoners of Geography,Jun,2016,Paperback
105,Stephen R. Covey,7 Habits Of Highly Effective People,Sep,2012,Paperback
106,Rob Lloyd Jones,Look Inside Things That Go,Nov,2013,Hardback
107,Liane Moriarty,The Husband&#039;s Secret,Nov,2017,Paperback
108,Mark Pett,The Girl Who Never Made Mistakes,Nov,2011,Hardback
109,Dav Pilkey,The Adventures of Dog Man 4: Dog Man and Cat Kid,Dec,2017,Hardback
110,John Wyndham,The Midwich Cuckoos,Aug,2008,Paperback
111,David Lagercrantz,The Girl in the Spider&#039;s Web,Apr,2016,Paperback
112,Phil Knight,Shoe Dog,Apr,2016,Paperback
113,Yeonmi Park,In Order To Live,Jul,2016,Paperback
